Level 1	Level 2	Level 3	Level 4	log2FoldChange
Energy Processing	Fermentation	Fermentations: Mixed acid	Acetaldehyde dehydrogenase (EC 1.2.1.10)	-0.446970129
Energy Processing	Fermentation	Fermentations: Mixed acid	Alcohol dehydrogenase (EC 1.1.1.1)	-0.60724637
Energy Processing	Fermentation	Fermentations: Mixed acid	D-lactate dehydrogenase (EC 1.1.1.28)	0.892395133
Energy Processing	Fermentation	Fermentations: Mixed acid	L-lactate dehydrogenase (EC 1.1.1.27)	-0.51307355
Energy Processing	Fermentation	Fermentations: Mixed acid	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	-0.691269484
Energy Processing	Fermentation	Fermentations: Mixed acid	Sugar/maltose fermentation stimulation protein homolog	1.011266043
Energy Processing	-	Biogenesis of c-type cytochromes	Ccs1/ResB-related putative cytochrome C-type biogenesis protein	-1.794806745
Energy Processing	-	Biogenesis of c-type cytochromes	Cytochrome c-type biogenesis protein CcsA/ResC	-1.15673104
Energy Processing	-	Biogenesis of cbb3-type cytochrome c oxidases	"Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation"	-1.312791234
Energy Processing	-	Biogenesis of cytochrome c oxidases	"Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB"	-2.873203634
Energy Processing	-	Formate hydrogenase	Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	-1.055198204
Energy Processing	-	Formate hydrogenase	NAD-dependent formate dehydrogenase beta subunit	3.513346785
Energy Processing	-	Formate hydrogenase	NAD-dependent formate dehydrogenase gamma subunit	2.127446634
Energy Processing	-	Methanogenesis strays	Uncharacterized ABC transporter ATP-binding protein MJ0121	1.526865763
Energy Processing	-	Methanogenesis strays	Uncharacterized HTH-type transcriptional regulator MJ0272	-1.922688941
Energy Processing	-	Quinone oxidoreductase family	Quinone oxidoreductase (EC 1.6.5.5)	-0.891849157
Energy Processing	-	Soluble cytochromes and functionally related electron carriers	cytochrome b-5	-1.7259144
Energy Processing	-	Soluble cytochromes and functionally related electron carriers	Cytochrome c552	0.653884865
Energy Processing	-	Soluble cytochromes and functionally related electron carriers	Cytochrome c552 precursor (EC 1.7.2.2)	0.653884865
Energy Processing	-	Soluble cytochromes and functionally related electron carriers	Ferredoxin	-0.761594198
Energy Processing	ATP synthases	F0F1-type ATP synthase	ATP synthase alpha chain (EC 3.6.3.14)	-0.507816771
Energy Processing	ATP synthases	F0F1-type ATP synthase	ATP synthase beta chain (EC 3.6.3.14)	-0.366573991
Energy Processing	ATP synthases	F0F1-type ATP synthase	ATP synthase protein I	2.489598935
Energy Processing	ATP synthases	F0F1-type ATP synthase	FIG048548: ATP synthase protein I2	3.630697342
Energy Processing	ATP synthases	V-Type ATP synthase	V-type ATP synthase subunit A (EC 3.6.3.14)	1.333679798
Energy Processing	ATP synthases	V-Type ATP synthase	V-type ATP synthase subunit B (EC 3.6.3.14)	1.212950852
Energy Processing	ATP synthases	V-Type ATP synthase	V-type ATP synthase subunit C (EC 3.6.3.14)	0.87591363
Energy Processing	ATP synthases	V-Type ATP synthase	V-type ATP synthase subunit D (EC 3.6.3.14)	1.341878611
Energy Processing	ATP synthases	V-Type ATP synthase	V-type ATP synthase subunit E (EC 3.6.3.14)	1.374163772
Energy Processing	ATP synthases	V-Type ATP synthase	V-type ATP synthase subunit F (EC 3.6.3.14)	0.839468097
Energy Processing	ATP synthases	V-Type ATP synthase	V-type ATP synthase subunit I (EC 3.6.3.14)	1.420115159
Energy Processing	ATP synthases	V-Type ATP synthase	V-type ATP synthase subunit K (EC 3.6.3.14)	1.636931254
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	Adenylylsulfate reductase alpha-subunit (EC 1.8.99.2)	4.293317076
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	Adenylylsulfate reductase beta-subunit (EC 1.8.99.2)	2.972382397
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	"Anaerobic dehydrogenases, typically selenocysteine-containing"	1.128612336
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	Anaerobic sulfite reductase subunit B	1.840779351
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	Anaerobic sulfite reductase subunit C (EC 1.8.1.-)	1.560576748
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	1.414910669
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	CoB--CoM heterodisulfide reductase subunit A (EC 1.8.98.1)	3.296548086
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	CoB--CoM heterodisulfide reductase subunit B (EC 1.8.98.1)	4.142455618
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	CoB--CoM heterodisulfide reductase subunit C (EC 1.8.98.1)	4.633677144
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	"Heterodisulfide reductase, cytochrome reductase subunit"	3.158924786
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	"heterodisulfide reductase, iron-sulfur binding subunit, putative"	3.759319316
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	"heterodisulfide reductase, subunit A/methylviologen reducing hydrogenase, subunit delta"	5.763802117
Energy Processing	Electron accepting reactions	Anaerobic respiratory reductases	Sulfite reductase beta subunit (EC 1.8.99.1)	4.882582134
Energy Processing	Electron accepting reactions	Terminal cytochrome C oxidases	Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	-1.990630235
Energy Processing	Electron accepting reactions	Terminal cytochrome C oxidases	Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	-1.28203197
Energy Processing	Electron accepting reactions	Terminal cytochrome C oxidases	Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	-1.377899828
Energy Processing	Electron accepting reactions	Terminal cytochrome C oxidases	Cytochrome c oxidase subunit CcoN (EC 1.9.3.1)	-1.203991491
Energy Processing	Electron accepting reactions	Terminal cytochrome C oxidases	"Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation"	-1.312791234
Energy Processing	Electron accepting reactions	Terminal cytochrome d ubiquinol oxidases	Transport ATP-binding protein CydC	-0.744577538
Energy Processing	Electron accepting reactions	Terminal cytochrome d ubiquinol oxidases	Transport ATP-binding protein CydCD	-1.41546477
Energy Processing	Electron accepting reactions	Terminal cytochrome O ubiquinol oxidase	Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	-2.484514607
Energy Processing	Electron accepting reactions	Terminal cytochrome oxidases	Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	-2.484514607
Energy Processing	Electron accepting reactions	Terminal cytochrome oxidases	Transport ATP-binding protein CydC	-0.744577538
Energy Processing	Electron accepting reactions	Terminal cytochrome oxidases	Transport ATP-binding protein CydCD	-1.41546477
Energy Processing	Electron accepting reactions	Ubiquinone Menaquinone-cytochrome c reductase complexes	"ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit"	-1.357018254
Energy Processing	Electron accepting reactions	Ubiquinone Menaquinone-cytochrome c reductase complexes	"Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)"	-1.663060742
Energy Processing	Electron accepting reactions	Ubiquinone Menaquinone-cytochrome c reductase complexes	Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	-1.393908529
Energy Processing	Electron donating reactions	Formate dehydrogenase	Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	-1.055198204
Energy Processing	Electron donating reactions	H2:CoM-S-S-HTP oxidoreductase	CoB--CoM heterodisulfide reductase subunit A (EC 1.8.98.1)	3.296548086
Energy Processing	Electron donating reactions	H2:CoM-S-S-HTP oxidoreductase	CoB--CoM heterodisulfide reductase subunit B (EC 1.8.98.1)	4.142455618
Energy Processing	Electron donating reactions	H2:CoM-S-S-HTP oxidoreductase	CoB--CoM heterodisulfide reductase subunit C (EC 1.8.98.1)	4.633677144
Energy Processing	Electron donating reactions	Hydrogenases	"Coenzyme F420-reducing hydrogenase, beta subunit"	3.558908369
Energy Processing	Electron donating reactions	Hydrogenases	"heterodisulfide reductase, subunit A/methylviologen reducing hydrogenase, subunit delta"	5.763802117
Energy Processing	Electron donating reactions	Hydrogenases	NAD-reducing hydrogenase subunit HoxE (EC 1.12.1.2)	1.859805785
Energy Processing	Electron donating reactions	Hydrogenases	NAD-reducing hydrogenase subunit HoxF (EC 1.12.1.2)	2.278419723
Energy Processing	Electron donating reactions	Hydrogenases	"NADP-reducing hydrogenase, subunit C"	2.283081044
Energy Processing	Electron donating reactions	Hydrogenases	"Ni,Fe-hydrogenase I cytochrome b subunit"	-2.022627077
Energy Processing	Electron donating reactions	Hydrogenases	Periplasmic [Fe] hydrogenase (EC 1.12.7.2)	1.095272647
Energy Processing	Electron donating reactions	Hydrogenases	Periplasmic [Fe] hydrogenase large subunit (EC 1.12.7.2)	1.307636281
Energy Processing	Electron donating reactions	Hydrogenases	Uptake hydrogenase small subunit precursor (EC 1.12.99.6)	0.894917543
Energy Processing	Electron donating reactions	Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes	Electron transport complex protein RnfA	1.265791916
Energy Processing	Electron donating reactions	Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes	Electron transport complex protein RnfB	1.582701423
Energy Processing	Electron donating reactions	Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes	Electron transport complex protein RnfC	1.167784462
Energy Processing	Electron donating reactions	Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes	Electron transport complex protein RnfD	1.703853478
Energy Processing	Electron donating reactions	Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes	Electron transport complex protein RnfE	1.083428201
Energy Processing	Electron donating reactions	Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes	Electron transport complex protein RnfG	2.151250274
Energy Processing	Electron donating reactions	NiFe hydrogenase maturation	[NiFe] hydrogenase metallocenter assembly protein HypD	0.723031436
Energy Processing	Electron donating reactions	NiFe hydrogenase maturation	[NiFe] hydrogenase nickel incorporation-associated protein HypB	0.741582968
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH dehydrogenase subunit 2	3.728416931
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH dehydrogenase subunit 5	1.823686259
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	-1.873915811
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	-0.941645516
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	-1.888748538
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	-1.794204136
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	-1.230582808
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	-1.222193626
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	-1.301762101
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	-1.742643691
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	-0.926227859
Energy Processing	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	-0.917179946
Energy Processing	Electron donating reactions	Respiratory dehydrogenases 1	D-amino acid dehydrogenase large subunit (EC 1.4.99.1)	1.967871367
Energy Processing	Electron donating reactions	Respiratory dehydrogenases 1	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	-3.354782372
Energy Processing	Electron donating reactions	Respiratory dehydrogenases 1	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	-0.918248066
Energy Processing	Electron donating reactions	Respiratory dehydrogenases 1	L-lactate dehydrogenase (EC 1.1.2.3)	-2.464423221
Energy Processing	Electron donating reactions	Respiratory dehydrogenases 1	L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenase	2.495034412
Energy Processing	Electron donating reactions	Respiratory dehydrogenases 1	NADH dehydrogenase (EC 1.6.99.3)	-0.720055157
Energy Processing	Electron donating reactions	Respiratory dehydrogenases 1	Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase)	-2.134185871
Energy Processing	Electron donating reactions	Succinate dehydrogenase	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	0.981650448
Energy Processing	Electron donating reactions	Succinate dehydrogenase	Succinate dehydrogenase cytochrome b-556 subunit	-1.897968472
Energy Processing	Electron donating reactions	Succinate dehydrogenase	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	-0.590958404
Energy Processing	Electron donating reactions	Succinate dehydrogenase	Succinate dehydrogenase hydrophobic membrane anchor protein	-1.415232265
Energy Processing	Electron donating reactions	Succinate dehydrogenase	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	-0.456559789
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	Biotin carboxyl carrier protein of glutaconyl-CoA decarboxylase	2.720487349
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	Biotin carboxyl carrier protein of methylmalonyl-CoA decarboxylase	1.830767498
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	Glutaconyl-CoA decarboxylase alpha chain (EC 4.1.1.70)	1.37651357
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	Glutaconyl-CoA decarboxylase beta chain (EC 4.1.1.70)	1.931876758
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	Glutaconyl-CoA decarboxylase delta chain (EC 4.1.1.70)	2.181429389
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	Membrane protein associated with methylmalonyl-CoA decarboxylase	3.09837059
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	"Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)"	1.047984029
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	"Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)"	1.169575518
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	Methylmalonyl-CoA:Pyruvate transcarboxylase 12S subunit (EC 2.1.3.1)	-2.311678883
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	Methylmalonyl-CoA:Pyruvate transcarboxylase 5S subunit (EC 2.1.3.1)	-2.139443616
Energy Processing	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes	Oxaloacetate decarboxylase beta chain (EC 4.1.1.3)	0.906976902
Communication	Capsular and extracellular polysacchrides	Alginate metabolism	Hexuronate transporter	1.525445435
Communication	Capsular and extracellular polysacchrides	Alginate metabolism	Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	-0.555977751
Communication	Capsular and extracellular polysacchrides	Alginate metabolism	Mannose-6-phosphate isomerase (EC 5.3.1.8)	-0.339004118
Communication	Capsular and extracellular polysacchrides	Alginate metabolism	Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)	1.089539322
Communication	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis	"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)"	-0.451063356
Communication	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis	GDP-L-fucose synthetase (EC 1.1.1.271)	0.888493004
Communication	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis	"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)"	0.828430583
Communication	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis	Phosphoheptose isomerase (EC 5.3.1.-)	0.947240691
Communication	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	O-antigen flippase Wzx	3.179010405
Communication	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Oligosaccharide repeat unit polymerase Wzy	2.827155865
Communication	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Tyrosine-protein kinase Wzc (EC 2.7.10.2)	3.759230556
Communication	Capsular and extracellular polysacchrides	Colanic acid biosynthesis	GDP-L-fucose synthetase (EC 1.1.1.271)	0.888493004
Communication	Capsular and extracellular polysacchrides	Colanic acid biosynthesis	"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)"	0.828430583
Communication	Capsular and extracellular polysacchrides	Colanic acid biosynthesis	Tyrosine-protein kinase Wzc (EC 2.7.10.2)	3.759230556
Communication	Capsular and extracellular polysacchrides	dTDP-rhamnose synthesis	"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)"	-0.451063356
Communication	Capsular and extracellular polysacchrides	dTDP-rhamnose synthesis	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"	-0.375342903
Communication	Capsular and extracellular polysacchrides	dTDP-rhamnose synthesis	"dTDP-Rha:A-D-GlcNAc-diphosphoryl polyprenol, A-3-L-rhamnosyl transferase WbbL"	-1.352600852
Communication	Capsular and extracellular polysacchrides	dTDP-rhamnose synthesis	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	-0.488182224
Communication	Capsular and extracellular polysacchrides	Exopolysaccharide Biosynthesis	Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-)	3.28703517
Communication	Capsular and extracellular polysacchrides	Extracellular Polysaccharide Biosynthesis of Streptococci	Capsular polysaccharide biosynthesis protein Cps4E	-2.27823315
Communication	Capsular and extracellular polysacchrides	Legionaminic Acid Biosynthesis	Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE	2.195059247
Communication	Capsular and extracellular polysacchrides	Legionaminic Acid Biosynthesis	UDP-Bac2Ac4Ac hydrolyzing 2-epimerase NeuC homolog	2.454184367
Communication	Capsular and extracellular polysacchrides	Legionaminic Acid Biosynthesis	"UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)"	0.769444963
Communication	Capsular and extracellular polysacchrides	Polysaccharide deacetylases	Polysaccharide deacetylase	1.129273646
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	"Alpha-D-GlcNAc alpha-1,2-L-rhamnosyltransferase (EC 2.4.1.-)"	-0.99796044
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	"Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)"	-2.419135898
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	"Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)"	-1.076608638
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	capsular polysaccharide biosynthesis protein	1.32190565
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)"	-0.451063356
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"	-0.375342903
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	-0.488182224
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)	-1.178870421
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	putative glycosyltransferase - possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide	-1.254807416
Communication	Capsular and extracellular polysacchrides	Rhamnose containing glycans	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	-0.921728259
Communication	Capsular and extracellular polysacchrides	Sialic Acid Metabolism	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.383184625
Communication	Capsular and extracellular polysacchrides	Sialic Acid Metabolism	"PTS system, mannose-specific IIA component (EC 2.7.1.69)"	-0.639477839
Communication	Capsular and extracellular polysacchrides	Sialic Acid Metabolism	"PTS system, mannose-specific IIC component (EC 2.7.1.69)"	-1.023358835
Communication	Capsular and extracellular polysacchrides	Sialic Acid Metabolism	"PTS system, mannose-specific IID component (EC 2.7.1.69)"	-1.342689494
Communication	Capsular and extracellular polysacchrides	Sialic Acid Metabolism	Sialic acid transporter (permease) NanT	-1.667579413
Communication	Capsular and extracellular polysacchrides	Sialic Acid Metabolism	"Sialic acid-induced transmembrane protein YjhT(NanM), possible mutarotase"	1.759112251
Communication	Capsular and extracellular polysacchrides	Sialic Acid Metabolism	"TRAP-type transport system, large permease component, predicted N-acetylneuraminate transporter"	1.551976599
Communication	Capsular and extracellular polysacchrides	Sialic Acid Metabolism	"TRAP-type transport system, periplasmic component, predicted N-acetylneuraminate-binding protein"	1.508866675
Communication	Capsular and extracellular polysacchrides	Sialic Acid Metabolism	"TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter"	1.261740461
Communication	Capsular and extracellular polysacchrides	Streptococcal Hyaluronic Acid Capsule	Hyaluronan synthase (EC 2.4.1.212)	1.61089569
Communication	Capsular and extracellular polysacchrides	Streptococcal Hyaluronic Acid Capsule	UDP-glucose dehydrogenase (EC 1.1.1.22)	0.64835157
Communication	Capsular and extracellular polysacchrides	Vibrio Polysaccharide (VPS) Biosynthesis	N-acetylmannosaminyltransferase (EC 2.4.1.187)	0.862082445
Communication	Capsular and extracellular polysacchrides	Vibrio Polysaccharide (VPS) Biosynthesis	"polysaccharide biosynthesis protein, putative"	1.70987991
Communication	Capsular and extracellular polysacchrides	Vibrio Polysaccharide (VPS) Biosynthesis	Serine acetyltransferase (EC 2.3.1.30)	-0.630321912
Communication	Adhesion	Adhesion of Campylobacter	Fibronectin/fibrinogen-binding protein	0.775658053
Communication	Adhesion	Streptococcus pyogenes recombinatorial zone	Sortase	-1.538707565
Communication	Pathogenicity islands	Staphylococcal pathogenicity islands SaPI	Heat shock protein 60 family chaperone GroEL	-0.258944666
Communication	Pathogenicity islands	Staphylococcal pathogenicity islands SaPI	"Integrase, superantigen-encoding pathogenicity islands SaPI"	2.312095462
Communication	"Phages, Prophages"	Phage capsid proteins	Phage capsid and scaffold	3.406305361
Communication	"Phages, Prophages"	Phage capsid proteins	Phage major capsid protein	2.87442524
